Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dallas Mavericks*,82,19880,40.6,87.7,.462,5.7,15.3,.374,34.8,72.4,.481,25.0,31.9,.783,14.2,33.4,47.6,20.3,8.2,6.7,15.3,25.2,111.8
2,Phoenix Suns*,82,19955,43.0,90.0,.479,10.5,26.3,.399,32.5,63.6,.511,14.9,18.5,.806,9.8,33.3,43.0,27.3,6.9,5.2,13.7,21.1,111.5
3,Seattle SuperSonics,82,19830,40.6,88.6,.459,8.0,21.5,.371,32.6,67.1,.487,21.8,27.8,.785,13.4,29.5,42.9,22.4,8.2,4.0,16.0,25.5,111.1
4,Detroit Pistons*,82,19830,41.6,91.5,.455,7.8,20.2,.384,33.8,71.2,.475,19.8,27.2,.727,13.6,32.7,46.3,27.5,8.1,6.8,13.0,21.1,110.8
5,Toronto Raptors,82,19955,39.8,87.7,.454,8.0,21.4,.375,31.8,66.3,.479,21.8,27.6,.791,11.4,30.3,41.7,21.0,7.0,3.6,14.1,26.0,109.5
6,Washington Wizards*,82,19830,39.0,87.3,.447,6.5,18.3,.357,32.5,69.0,.471,24.8,32.7,.757,13.6,30.7,44.3,20.0,8.6,4.4,15.0,24.3,109.3
7,Miami Heat*,82,19755,40.3,84.3,.478,6.6,19.1,.345,33.7,65.2,.517,21.4,30.6,.700,11.4,35.5,46.9,22.4,6.9,5.9,15.7,24.8,108.7
8,Los Angeles Lakers*,82,19855,39.8,87.9,.453,7.3,21.0,.349,32.4,66.8,.486,21.5,28.9,.745,12.9,33.1,46.0,23.1,8.4,4.7,15.2,25.2,108.4
9,Cleveland Cavaliers*,82,19830,39.2,86.4,.454,6.7,19.7,.339,32.5,66.7,.487,22.8,31.2,.729,12.9,33.8,46.8,21.0,7.6,5.3,15.3,23.4,107.8
10,San Antonio Spurs*,82,19805,41.0,86.8,.472,7.2,18.6,.385,33.8,68.2,.496,18.2,25.9,.702,11.7,34.9,46.5,23.5,7.4,6.4,15.4,23.5,107.3
11,Sacramento Kings*,82,19830,38.9,85.6,.454,6.5,18.5,.351,32.4,67.0,.483,22.4,28.6,.784,11.2,32.6,43.8,24.0,8.0,3.9,15.8,22.0,106.7
12,Atlanta Hawks,82,19880,39.3,86.7,.454,5.7,15.4,.367,33.7,71.3,.472,22.1,29.5,.750,14.3,29.8,44.1,21.7,7.8,5.3,17.1,27.4,106.4
13,Milwaukee Bucks*,82,19855,39.4,87.0,.453,6.7,17.7,.380,32.7,69.3,.472,20.7,28.0,.738,12.3,32.4,44.7,23.4,7.9,3.6,15.9,25.2,106.3
14,Orlando Magic,82,19905,39.7,84.2,.472,4.1,10.9,.376,35.7,73.3,.486,22.7,31.1,.730,12.2,32.8,45.0,20.4,7.3,4.9,16.9,26.1,106.3
15,Philadelphia 76ers,82,19905,39.0,85.2,.458,4.9,13.4,.364,34.2,71.7,.476,23.0,30.3,.760,11.4,31.5,42.9,21.5,8.5,5.3,15.1,22.3,106.0
16,Memphis Grizzlies*,82,19855,38.5,85.8,.448,8.3,22.1,.374,30.2,63.7,.474,20.7,29.1,.711,11.7,33.3,45.0,22.2,8.4,6.2,15.9,24.6,105.9
17,Denver Nuggets*,82,19930,39.5,85.5,.461,4.5,13.8,.325,35.0,71.7,.487,22.1,29.6,.744,11.6,31.9,43.4,24.6,8.9,5.9,15.6,23.9,105.5
18,Los Angeles Clippers*,82,19805,39.5,85.1,.465,3.8,11.1,.344,35.7,74.0,.483,22.4,28.3,.791,10.9,35.7,46.7,22.6,7.1,6.6,15.7,24.7,105.3
19,Boston Celtics,82,19880,38.6,82.8,.467,6.1,16.9,.362,32.5,65.9,.494,21.8,28.9,.755,10.6,31.9,42.5,22.5,7.6,5.5,17.8,26.6,105.2
20,Golden State Warriors,82,19830,38.1,88.0,.433,8.1,23.8,.341,30.0,64.3,.467,20.4,28.4,.718,12.7,32.2,45.0,22.0,7.8,4.6,15.0,25.2,104.8
21,Indiana Pacers*,82,19730,37.8,85.1,.444,7.3,20.8,.349,30.5,64.3,.475,21.6,29.3,.737,12.2,34.7,46.9,22.1,8.1,5.5,17.0,24.7,104.5
22,Utah Jazz,82,19880,37.7,85.3,.442,4.3,12.7,.336,33.4,72.6,.461,24.4,33.9,.719,14.7,32.7,47.4,24.4,7.2,6.8,17.7,27.9,104.1
23,New York Knicks,82,19930,37.4,82.3,.455,4.2,11.7,.362,33.2,70.6,.470,24.9,34.3,.726,13.7,31.3,45.0,19.5,7.4,3.6,19.2,28.6,104.0
24,Chicago Bulls*,82,19905,39.0,87.4,.446,7.3,19.2,.379,31.7,68.2,.465,18.8,25.5,.738,11.8,33.8,45.5,23.4,6.6,4.5,15.9,26.4,104.0
25,New Jersey Nets*,82,19780,37.5,85.3,.440,6.4,19.5,.330,31.1,65.8,.472,22.4,29.5,.758,11.1,34.3,45.4,25.4,7.5,3.8,15.1,25.7,103.9
26,New Orleans/Oklahoma City Hornets,82,19805,38.6,87.6,.440,4.1,12.1,.339,34.5,75.5,.457,22.5,29.6,.758,12.5,32.4,44.9,20.7,8.3,4.2,14.9,24.3,103.7
27,Charlotte Bobcats,82,19905,38.2,88.3,.433,5.5,16.3,.339,32.7,72.0,.454,20.6,28.2,.729,12.8,29.3,42.1,22.2,10.6,4.6,15.1,25.3,102.5
28,Minnesota Timberwolves,82,19855,39.3,86.3,.456,4.2,12.8,.329,35.1,73.5,.478,19.6,25.8,.758,11.0,33.0,44.0,23.4,7.6,6.4,16.2,25.7,102.4
29,Houston Rockets,82,19830,37.2,86.0,.433,6.4,19.4,.332,30.8,66.5,.463,20.6,27.2,.759,11.7,35.3,46.9,21.7,8.1,4.4,16.4,25.6,101.6
30,Portland Trail Blazers,82,19730,38.7,87.0,.445,5.1,14.5,.349,33.7,72.5,.464,18.6,27.0,.689,12.3,30.6,42.9,20.7,7.3,6.0,16.7,25.4,101.1